#____________________________________________________________
#
#                   RCTelescopeTiming                 
#      Roque Cherenkov Telescope Timing Analysis Package    
#               Selecting Events for Plots 		   
#            Author: Max Ahnen, IPP ETH Zurich            
#____________________________________________________________
#Gamma-Ray like 3-Telescope-Events
#
#NIGHT,RUNID,EventNum,E/GeV
20141124,130,18974,2524.97
20141124,133,1113,4673.22
20141124,133,2248,897.401
20141124,133,2437,776.548
20141124,133,5837,1759.7
20141124,133,7947,610.785
20141124,133,13091,1402.78
20141124,133,16956,1283.44
20141124,133,17723,6110.99
20141124,133,19396,1074.44
20141124,134,124,1553.55
20141124,134,1342,1953.59
20141124,134,2067,1588.64
20141124,134,3806,1668.59
20141124,134,5691,769.698
20141124,134,7428,740.996
20141124,135,115,890.587
20141124,135,244,797.397
20141124,135,760,917.784
20141124,135,1337,858.804
20141124,135,2974,856.996
20141124,135,3250,1170.71
20141124,135,5823,2548.35
20141124,135,6972,776.937
20141124,135,7525,1403.72
20141124,135,8281,724.299
20141124,135,17630,11550.8
20141124,135,18693,1126.32
20141124,136,40,1545.73
20141124,136,2388,607.476
20141124,136,6651,828.523
20141124,136,6956,667.109
20141124,136,7710,900.503
20141124,136,14137,899.679
20141124,136,18973,715.384
20141124,146,404,3004.45
20141124,146,800,1695.54
20141124,146,7049,1329.22
20141124,146,15469,914.563
20141124,146,17367,661.809
20141124,146,22400,2448.6
20141124,146,23630,572.584
20141124,147,3509,626.739
20141124,147,3882,1269.28
20141124,147,4750,825.771
20141124,147,7059,1433.65
20141124,147,8530,431.775
20141124,147,11751,570.801
20141124,147,12895,2322.62
20141124,147,14998,1433.55
20141124,147,15457,754.942
20141124,147,21182,644.45
20141124,148,1362,1369.78
20141124,148,1835,708.886
20141124,148,11433,604.938
20141124,148,12790,3943.75
20141124,148,19997,1167.21
20141124,148,20156,644.786
20141124,148,21944,846.221
20141124,149,3927,643.842
20141124,149,5191,739.244
20141124,149,6317,6918.97
20141124,149,7176,1147.25
20141124,149,7834,933.831
20141124,149,11543,2009.54
20141124,149,12907,658.823
20141124,149,14890,1013.38
20141124,152,8236,760.255
20141124,152,8510,1132.25
20141124,152,9073,866.035
20141124,152,13959,1468.01
20141124,152,18137,845.963
20141124,152,19878,5227.6
20141124,153,385,1024.15
20141124,153,7763,398.995
20141124,153,9714,792.76
20141124,153,14110,530.734
20141124,153,15206,765.566
20141124,153,16057,1231.77
20141124,153,19279,750.099
20141212,105,11283,999.773
20141212,105,14460,994.006
20141212,105,17595,2677.8
20141212,105,18871,550.97
20141212,105,20189,979.513
20141212,105,21656,1008.82
20141212,106,1592,1843.97
20141212,106,9112,1137.49
20141212,106,13035,966.643
20141212,106,21574,1453.87
20141212,112,2527,717.332
20141212,112,4655,742.086
20141212,112,7333,483.882
20141212,112,8246,2486.66
20141212,112,10051,595.735
20141212,112,10981,1203.41
20141212,112,14855,1041.01
20141212,112,17134,1275.82
20141212,115,3165,528.425
20141212,115,3172,842.38
20141212,115,5890,533.836
20141212,115,5997,1631
20141212,115,19515,585.048
20141212,115,19686,2035.27
20141212,116,2778,962.176
20141212,116,4780,810.51
20141212,116,9665,2103.91
20141212,116,11767,955.684
20141212,117,774,1579.38
20141212,117,2699,2262
20141212,117,2992,714.807
20141212,117,4454,1065.33
20141212,117,5571,936.773
20141212,117,8257,1680.89
20141212,117,14763,2131.76
20141212,118,603,1392.1
20141212,118,1073,570.977
20141212,118,2710,6563.04
20141212,118,11213,674.806
20141213,66,8279,1061.81
20141213,66,10764,2501.82
20141213,66,11042,3341.55
20141213,66,13493,771.552
20141213,66,16980,1097.66
20141213,66,17509,470.631
20141213,66,18050,1085.94
20141213,68,4247,1229.61
20141213,68,4993,2086.55
20141213,68,6072,3259.87
20141213,68,7166,832.722
20141213,68,7394,1519.45
20141213,68,12260,4850.51
20141213,68,14772,592.115
20141213,68,17999,1520.62
20141213,68,19993,1346.23
20141213,78,4149,973.931
20141213,78,5513,926.843
20141213,78,9518,1105.03
20141213,78,12091,842.336
20141213,78,13115,2754.6
20141213,78,19277,1834.34
20141213,79,6451,1132.59
20141213,79,7522,715.789
20141213,79,11235,1144.78
20141213,79,13096,440.309
20141213,79,16685,4089.47
20141213,80,1259,1262.75
20141213,80,1720,1223.85
20141213,80,9829,1309.79
20141213,80,11369,1059
20141213,80,15200,1017.88
20141213,80,15933,1318.04
20141213,80,16854,1232.57
20141213,80,18567,2167.11
20141213,80,19802,1610.71
20141213,80,20113,1224.46
20141213,80,22128,8360.08
20141213,81,809,570.102
20141213,81,11765,1751.45
20141213,81,15923,1699.01
20141213,84,3296,1047.64
20141213,84,9028,844.474
20141213,84,20556,579.102
20141213,85,148,648.888
20141213,85,2413,2002.29
20141213,85,4193,999.136
20141213,86,20869,1365.84
20141213,87,7761,419.128
20141213,87,8256,10140.9
20141213,87,11285,397.336
20141213,87,11370,844.44
20141213,87,14472,1411.44
20141213,90,1342,993.757
20141213,90,2701,742.092
20141213,90,5701,2201.73
20141213,90,7876,583.208
20141213,90,8733,1881.7
20141213,90,10095,676.034
20141213,90,11771,5510.48
20141213,90,14651,767.53
20141213,90,16920,2093.15
20141213,91,1835,1645.18
20141213,91,4280,1091.36
20141213,91,11631,2690.35
20141213,91,16005,848.841
20141213,91,17345,704.431
20141213,91,22721,529.979
20141213,92,4847,3599.27
20141213,92,18035,2209.28
20141213,92,23648,1410.15
20141213,93,354,866.39
20141213,93,635,517.915
20141213,93,1198,894.573
20141213,93,1286,1244.93
20141213,93,2760,3097.69
20141213,93,19325,1053.58
20141213,93,19811,462.184
20141213,93,23007,2135.49
20141213,103,2835,490.713
20141213,103,14533,1173.76
20141213,103,15287,687.665
20141213,103,16771,500.908
20141213,103,22141,493.408
20141213,104,3863,385.843
20141213,104,20791,711.318
20141213,105,1912,958.268
20141213,105,7853,494.987
20141213,105,10773,786.956
20141213,105,16643,1233.72
20141213,106,564,415.993
20141213,106,8113,747.098
20141213,106,13633,675.005
20141213,106,20972,242.376
20141213,109,531,1326.67
20141218,83,5862,1657.07
20141218,83,6858,825.786
20141218,83,8862,1603.38
20141218,83,13775,1594.21
20141218,83,13883,1147.58
20141218,83,17409,1364.57
20141218,84,2566,1262.78
20141218,84,6093,2516.89
20141218,84,6711,722.391
20141218,84,10999,961.839
20141218,85,256,528.823
20141218,85,1169,1486.86
20141218,85,3589,1247.59
20141218,85,4593,1737.26
20141218,85,13065,1299.84
20141218,85,17054,672.63
20141218,85,18765,1366.99
20141218,86,26,859.462
20141218,86,425,1931.83
20141218,86,6150,1615.82
20141218,86,11511,957.607
20141218,86,11880,2688.29
20141218,86,16831,939.591
20141218,86,17667,489.169
20141218,96,1193,778.395
20141218,96,1565,718.931
20141218,96,3118,853.813
20141218,96,4616,681.976
20141218,96,6022,964.716
20141218,96,7868,1369.1
20141218,96,8305,642.583
20141218,96,15369,496.521
20141218,96,17585,2223.8
20141218,97,1305,1776.21
20141218,97,3034,1147.46
20141218,97,3542,1410.75
20141218,97,8179,1037
20141218,97,16269,3637.7
